Anio,Ciudad,TemperaturaPromedio
2016,"Calcutta",81.22
2012,"Cotonou",81.21
2003,"Freetown",81.21
2001,"Rangoon",81.21
2013,"Manama",81.20
2008,"Cotonou",81.20
1996,"Colombo",81.18
2005,"Colombo",81.18
2000,"Lome",81.16
2014,"Rangoon",81.15
2006,"Colombo",81.15
2007,"Lagos",81.15
1998,"Abidjan",81.11
2020,"Brazzaville",81.11
2011,"Lome",81.10
1999,"Colombo",81.09
2001,"Colombo",81.07
2001,"Bombay (Mumbai)",81.06
2010,"Lagos",81.06
2016,"Conakry",81.06
1998,"Kuwait",81.06
1995,"Bombay (Mumbai)",81.06
2014,"Kuwait",81.05
2017,"Lagos",81.05
2012,"Conakry",81.04
2018,"Bissau",81.04
2004,"Colombo",81.04
2016,"Kuwait",81.04
2018,"Conakry",81.02
1998,"Karachi",81.02
2000,"Colombo",81.02
2012,"Lome",81.02
2008,"Colombo",81.01
1999,"Karachi",81.01
2004,"Lome",81.01
2006,"Manama",81.01
2014,"Vientiane",81.00
2001,"Lome",81.00
2009,"Freetown",81.00
2007,"Manama",80.98
2015,"Lagos",80.98
2016,"Libreville",80.98
2003,"Manama",80.98
2007,"Karachi",80.97
2004,"Lagos",80.96
2001,"Karachi",80.96
2000,"Conakry",80.94
1999,"Lagos",80.94
2009,"Karachi",80.93
2007,"Lome",80.93
2018,"Karachi",80.92
2011,"Manama",80.92
2008,"Kuala Lumpur",80.92
2002,"Vientiane",80.91
1997,"Cotonou",80.91
1997,"Lome",80.90
2013,"Conakry",80.90
2005,"Vientiane",80.88
2004,"Karachi",80.88
2009,"Vientiane",80.87
2002,"Manama",80.87
2002,"Colombo",80.87
1996,"Conakry",80.85
2000,"Rangoon",80.85
2012,"Kuwait",80.84
2003,"Kuwait",80.84
2010,"Dhaka",80.84
1996,"Vientiane",80.82
2001,"Kuwait",80.78
2004,"Manama",80.78
2000,"Vientiane",80.78
2003,"Vientiane",80.74
2006,"Vientiane",80.74
2006,"Kuwait",80.73
1999,"Vientiane",80.72
2015,"Karachi",80.71
2015,"Conakry",80.71
2006,"Karachi",80.71
2014,"Conakry",80.70
2018,"Colombo",80.65
2015,"Abidjan",80.62
2000,"Manama",80.61
2004,"Bombay (Mumbai)",80.60
2016,"Karachi",80.58
1995,"Abidjan",80.58
2004,"Abidjan",80.57
1999,"Abidjan",80.57
2009,"Lagos",80.57
1995,"Manila",80.57
2010,"Abidjan",80.57
2005,"Abidjan",80.56
2010,"Calcutta",80.56
2015,"Calcutta",80.56
2003,"Karachi",80.55
2019,"Libreville",80.54
1998,"Libreville",80.54
1997,"Libreville",80.53
2007,"Vientiane",80.52
1996,"Abidjan",80.51
2008,"Manama",80.49
2014,"Lagos",80.49
2007,"Kuwait",80.48
2010,"Dar Es Salaam",80.47
2002,"Kuwait",80.45
2010,"Karachi",80.45
2019,"Karachi",80.45
2009,"Calcutta",80.45
2017,"Vientiane",80.44
2002,"Abidjan",80.43
2009,"Kuwait",80.41
2004,"Kuwait",80.39
2004,"Calcutta",80.39
2018,"Vientiane",80.38
1996,"Kuwait",80.37
2017,"Libreville",80.37
2001,"Lagos",80.34
2015,"Dar Es Salaam",80.34
2002,"Karachi",80.31
2014,"Abidjan",80.30
2013,"Abidjan",80.29
2008,"Kuwait",80.29
2016,"Delhi",80.29
2003,"Abidjan",80.29
1997,"Abidjan",80.28
2000,"Kuwait",80.28
2007,"Libreville",80.24
2016,"Dar Es Salaam",80.23
2018,"Libreville",80.23
2005,"Manama",80.21
